Transcript,Transcript
TRINITY_DN10197_c0_g1_i1,TRINITY_DN10197_c0_g1_i1
TRINITY_DN101984_c1_g1_i2,TRINITY_DN101984_c1_g1_i2
TRINITY_DN101995_c0_g1_i5,TRINITY_DN101995_c0_g1_i5
TRINITY_DN10199_c0_g1_i3,TRINITY_DN10199_c0_g1_i3
TRINITY_DN1019_c0_g1_i2,TRINITY_DN1019_c0_g1_i2
TRINITY_DN1019_c0_g2_i4,TRINITY_DN1019_c0_g2_i4
TRINITY_DN101_c0_g1_i10,TRINITY_DN101_c0_g1_i10
TRINITY_DN101_c0_g2_i3,TRINITY_DN101_c0_g2_i3
TRINITY_DN101_c0_g4_i1,TRINITY_DN101_c0_g4_i1
TRINITY_DN101_c17_g1_i1,TRINITY_DN101_c17_g1_i1
TRINITY_DN101_c1_g1_i11,TRINITY_DN101_c1_g1_i11
TRINITY_DN101_c34_g1_i1,TRINITY_DN101_c34_g1_i1
TRINITY_DN101_c3_g1_i7,TRINITY_DN101_c3_g1_i7
TRINITY_DN101_c9_g1_i3,TRINITY_DN101_c9_g1_i3
TRINITY_DN10200_c0_g2_i1,TRINITY_DN10200_c0_g2_i1
TRINITY_DN10201_c0_g1_i3,TRINITY_DN10201_c0_g1_i3
TRINITY_DN10203_c0_g2_i2,TRINITY_DN10203_c0_g2_i2
TRINITY_DN102041_c1_g2_i1,TRINITY_DN102041_c1_g2_i1
TRINITY_DN10204_c0_g1_i7,TRINITY_DN10204_c0_g1_i7
TRINITY_DN10205_c0_g1_i8,TRINITY_DN10205_c0_g1_i8
TRINITY_DN10205_c0_g2_i1,TRINITY_DN10205_c0_g2_i1
TRINITY_DN10205_c0_g3_i1,TRINITY_DN10205_c0_g3_i1
TRINITY_DN102061_c0_g1_i1,TRINITY_DN102061_c0_g1_i1
TRINITY_DN102064_c0_g1_i7,TRINITY_DN102064_c0_g1_i7
TRINITY_DN10209_c0_g1_i1,TRINITY_DN10209_c0_g1_i1
TRINITY_DN1020_c0_g2_i1,TRINITY_DN1020_c0_g2_i1
